frame_no,timestamp_sec,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_mode,event_type,line_index,counted,motion_state,avg_per_frame,displacement,moving,in_roi
38,1.2667,38,truck,0.5489,657,499,1072,642,864.5,570.5,multiline,none,-1,False,recently_moving,2.24,8.1,True,True
38,1.2667,59,truck,0.706,0,519,89,633,44.5,576.0,multiline,none,-1,False,recently_moving,2.04,21.55,True,True
38,1.2667,37,car,0.8591,1251,588,1438,666,1344.5,627.0,multiline,none,-1,False,recently_moving,3.03,33.25,True,True
38,1.2667,81,car,0.7996,1873,628,1919,686,1896.0,657.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
39,1.3,1,person,0.7609,765,391,782,430,773.5,410.5,multiline,none,-1,False,recently_moving,0.55,5.89,True,True
39,1.3,38,truck,0.5138,673,499,1071,642,872.0,570.5,multiline,none,-1,False,recently_moving,2.12,0.52,True,True
39,1.3,59,truck,0.6231,0,517,92,634,46.0,575.5,multiline,none,-1,False,recently_moving,2.01,21.33,True,True
39,1.3,37,car,0.8291,1249,588,1436,666,1342.5,627.0,multiline,none,-1,False,recently_moving,3.02,33.14,True,True
39,1.3,81,car,0.8314,1871,627,1919,686,1895.0,656.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
39,1.3,70,person,0.6857,288,488,313,534,300.5,511.0,multiline,none,-1,False,recently_moving,0.7,7.59,True,True
40,1.3333,1,person,0.7793,766,391,782,429,774.0,410.0,multiline,none,-1,False,recently_moving,0.57,6.12,True,True
40,1.3333,38,truck,0.5437,669,499,1069,642,869.0,570.5,multiline,none,-1,False,recently_moving,1.85,4.41,True,True
40,1.3333,59,truck,0.7859,0,515,96,634,48.0,574.5,multiline,none,-1,False,recently_moving,1.99,21.19,True,True
40,1.3333,37,car,0.8613,1246,588,1436,666,1341.0,627.0,multiline,none,-1,False,recently_moving,2.96,32.54,True,True
40,1.3333,81,car,0.8645,1869,627,1919,687,1894.0,657.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
40,1.3333,70,person,0.5986,287,488,311,535,299.0,511.5,multiline,none,-1,False,recently_moving,0.79,8.57,True,True
41,1.3667,1,person,0.7765,766,391,782,429,774.0,410.0,multiline,none,-1,False,recently_moving,0.55,5.98,True,True
41,1.3667,38,truck,0.4411,662,499,1067,642,864.5,570.5,multiline,none,-1,False,recently_moving,1.69,6.15,True,True
41,1.3667,59,truck,0.7531,0,514,100,635,50.0,574.5,multiline,none,-1,False,recently_moving,1.97,21.03,True,True
41,1.3667,37,car,0.8644,1244,588,1435,666,1339.5,627.0,multiline,none,-1,False,recently_moving,2.87,31.51,True,True
41,1.3667,81,car,0.8925,1866,626,1919,688,1892.5,657.0,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
41,1.3667,70,person,0.7071,286,488,309,534,297.5,511.0,multiline,none,-1,False,recently_moving,0.9,9.7,True,True
42,1.4,1,person,0.7982,767,390,783,429,775.0,409.5,multiline,none,-1,False,recently_moving,0.54,5.91,True,True
42,1.4,38,truck,0.4985,656,498,1065,642,860.5,570.0,multiline,none,-1,False,recently_moving,1.8,3.28,True,True
42,1.4,59,truck,0.764,0,513,103,635,51.5,574.0,multiline,none,-1,False,recently_moving,1.96,20.9,True,True
42,1.4,37,car,0.8493,1241,588,1433,666,1337.0,627.0,multiline,none,-1,False,recently_moving,2.79,30.65,True,True
42,1.4,81,car,0.8931,1862,624,1919,689,1890.5,656.5,multiline,none,-1,False,recently_moving,0.79,3.12,True,True
42,1.4,70,person,0.7002,285,488,306,534,295.5,511.0,multiline,none,-1,False,recently_moving,1.0,10.77,True,True
43,1.4333,1,person,0.7867,768,390,783,429,775.5,409.5,multiline,none,-1,False,recently_moving,0.56,6.04,True,True
43,1.4333,38,truck,0.469,650,498,1063,642,856.5,570.0,multiline,none,-1,False,recently_moving,1.71,3.14,True,True
43,1.4333,59,truck,0.7238,0,512,107,635,53.5,573.5,multiline,none,-1,False,recently_moving,1.95,20.87,True,True
43,1.4333,37,car,0.8468,1239,587,1433,666,1336.0,626.5,multiline,none,-1,False,recently_moving,2.64,29.03,True,True
43,1.4333,81,car,0.8892,1858,623,1919,689,1888.5,656.0,multiline,none,-1,False,recently_moving,0.95,4.67,True,True
43,1.4333,70,person,0.5751,284,488,305,534,294.5,511.0,multiline,none,-1,False,recently_moving,1.06,11.48,True,True
44,1.4667,1,person,0.8,768,390,783,428,775.5,409.0,multiline,none,-1,False,recently_moving,0.57,6.18,True,True
44,1.4667,38,truck,0.5075,662,498,1061,643,861.5,570.5,multiline,none,-1,False,recently_moving,1.48,5.73,True,True
44,1.4667,59,truck,0.6449,0,511,111,635,55.5,573.0,multiline,none,-1,False,recently_moving,1.96,21.17,True,True
44,1.4667,37,car,0.8405,1236,587,1432,666,1334.0,626.5,multiline,none,-1,False,recently_moving,2.5,27.46,True,True
44,1.4667,81,car,0.8856,1854,621,1919,690,1886.5,655.5,multiline,none,-1,False,recently_moving,1.08,6.41,True,True
44,1.4667,70,person,0.7379,282,488,303,534,292.5,511.0,multiline,none,-1,False,recently_moving,1.12,12.11,True,True
44,1.4667,99,car,0.48,0,511,123,636,61.5,573.5,multiline,none,-1,False,insufficient_data,0.0,0.0,False,True
45,1.5,1,person,0.8019,769,389,784,428,776.5,408.5,multiline,none,-1,False,recently_moving,0.58,6.33,True,True
45,1.5,38,truck,0.428,677,498,1059,643,868.0,570.5,multiline,none,-1,False,recently_moving,1.65,3.92,True,True
45,1.5,37,car,0.8577,1234,587,1429,666,1331.5,626.5,multiline,none,-1,False,recently_moving,2.4,26.44,True,True
45,1.5,81,car,0.9049,1850,620,1919,690,1884.5,655.0,multiline,none,-1,False,recently_moving,1.19,8.25,True,True
45,1.5,70,person,0.7419,281,488,302,534,291.5,511.0,multiline,none,-1,False,recently_moving,1.15,12.49,True,True
46,1.5333,1,person,0.7961,769,389,784,427,776.5,408.0,multiline,none,-1,False,recently_moving,0.59,6.34,True,True
46,1.5333,38,truck,0.5589,673,498,1058,643,865.5,570.5,multiline,none,-1,False,recently_moving,1.6,2.22,True,True
46,1.5333,37,car,0.8504,1232,587,1426,666,1329.0,626.5,multiline,none,-1,False,recently_moving,2.33,25.62,True,True
46,1.5333,81,car,0.9115,1846,618,1919,690,1882.5,654.0,multiline,none,-1,False,recently_moving,1.29,10.2,True,True
46,1.5333,70,person,0.6686,280,488,300,534,290.0,511.0,multiline,none,-1,False,recently_moving,1.21,13.06,True,True
46,1.5333,59,truck,0.7939,0,511,115,636,57.5,573.5,multiline,none,-1,False,recently_moving,1.96,21.42,True,True
47,1.5667,1,person,0.7842,770,389,784,427,777.0,408.0,multiline,none,-1,False,recently_moving,0.59,6.34,True,True
47,1.5667,38,truck,0.5313,666,498,1056,643,861.0,570.5,multiline,none,-1,False,recently_moving,1.55,1.66,True,True
47,1.5667,37,car,0.8251,1230,587,1423,666,1326.5,626.5,multiline,none,-1,False,recently_moving,2.25,24.74,True,True
47,1.5667,81,car,0.9105,1841,617,1919,690,1880.0,653.5,multiline,none,-1,False,recently_moving,1.39,12.38,True,True
47,1.5667,70,person,0.7593,279,488,299,534,289.0,511.0,multiline,none,-1,False,recently_moving,1.24,13.43,True,True
47,1.5667,59,truck,0.7073,0,510,119,637,59.5,573.5,multiline,none,-1,False,recently_moving,1.96,21.4,True,True
48,1.6,1,person,0.7824,770,388,784,427,777.0,407.5,multiline,none,-1,False,recently_moving,0.56,6.06,True,True
48,1.6,38,truck,0.6138,674,498,1057,643,865.5,570.5,multiline,none,-1,False,recently_moving,1.41,1.51,True,True
48,1.6,37,car,0.8108,1228,587,1422,666,1325.0,626.5,multiline,none,-1,False,recently_moving,2.17,23.82,True,True
48,1.6,81,car,0.9126,1837,616,1919,690,1878.0,653.0,multiline,none,-1,False,recently_moving,1.46,14.51,True,True
